Id	LowerOutMax	LowerOutMin	LowerNotch	LowerWhisker	LowerHinge	Median	UpperHinge	UpperWhisker	UpperNotch	UpperOutMin	UpperOutMax
TCGA-OR-A5J1-01A-11D-A29J-05	NA	NA	NA	-0.452288	-0.011136	0.394507	0.448207	0.516266	NA	NA	0.9808
TCGA-OR-A5J2-01A-11D-A29J-05	NA	NA	NA	-0.453234	-0.434526	-0.413306	-0.369394	0.497689	NA	NA	0.962223
TCGA-OR-A5J3-01A-11D-A29J-05	NA	NA	NA	-0.450023	-0.401094	-0.0512105	0.382141	0.515756	NA	NA	0.98029
TCGA-OR-A5J4-01A-11D-A29J-05	NA	NA	NA	-0.450904	0.055512	0.37382	0.44006	0.516797	NA	NA	0.981331
TCGA-OR-A5J5-01A-11D-A29J-05	NA	NA	NA	-0.45085	-0.287126	0.357123	0.465646	0.518158	NA	NA	0.982692
TCGA-OR-A5J6-01A-31D-A29J-05	NA	NA	NA	-0.454158	-0.434619	-0.412282	-0.357803	0.509366	NA	NA	0.9739
TCGA-OR-A5J7-01A-11D-A29J-05	NA	NA	NA	-0.449076	0.368554	0.4168015	0.455587	0.521065	NA	NA	0.985599
TCGA-OR-A5J8-01A-11D-A29J-05	NA	NA	NA	-0.451862	-0.339021	-0.0728675	0.203006	0.518166	NA	NA	0.9827
TCGA-OR-A5J9-01A-11D-A29J-05	NA	NA	NA	-0.446278	0.344816	0.4051185	0.450281	0.516012	NA	NA	0.980546
TCGA-OR-A5JA-01A-11D-A29J-05	NA	NA	NA	-0.45255	0.196418	0.366759	0.430311	0.509883	NA	NA	0.974417
TCGA-OR-A5JB-01A-11D-A29J-05	NA	NA	NA	-0.453285	-0.415702	-0.234884	0.232724	0.520412	NA	NA	NA
TCGA-OR-A5JC-01A-11D-A29J-05	NA	NA	NA	-0.447685	0.046376	0.2498095	0.342916	0.513801	NA	NA	0.978335
TCGA-OR-A5JD-01A-11D-A29J-05	NA	NA	NA	-0.454874	-0.420458	-0.370527	-0.154604	0.507447	NA	NA	0.971981
TCGA-OR-A5JE-01A-11D-A29J-05	NA	NA	NA	-0.451273	0.29124	0.3618445	0.414735	0.513574	NA	NA	0.978108
TCGA-OR-A5JF-01A-11D-A29J-05	NA	NA	NA	-0.451185	-0.399092	-0.238038	0.289217	0.513964	NA	NA	NA
TCGA-OR-A5JG-01A-11D-A29J-05	NA	NA	NA	-0.451673	0.261365	0.4135935	0.455791	0.515856	NA	NA	0.98039
TCGA-OR-A5JI-01A-11D-A29J-05	NA	NA	NA	-0.450501	-0.315943	-0.0351485	0.196844	0.518404	NA	NA	0.982938
TCGA-OR-A5JJ-01A-11D-A29J-05	NA	NA	NA	-0.451657	0.013988	0.3600955	0.428797	0.513507	NA	NA	0.978041
TCGA-OR-A5JK-01A-11D-A29J-05	NA	NA	NA	-0.451616	-0.415969	-0.3640745	-0.161823	0.511004	NA	NA	0.975538
TCGA-OR-A5JL-01A-11D-A29J-05	NA	NA	NA	-0.451762	-0.424487	-0.385126	-0.234754	0.506886	NA	NA	0.97142
TCGA-OR-A5JM-01A-11D-A29J-05	NA	NA	NA	-0.450347	0.370408	0.4804095	0.504272	0.524951	NA	NA	0.989485
TCGA-OR-A5JO-01A-11D-A29J-05	NA	NA	NA	-0.451755	-0.425529	-0.394334	-0.302644	0.512201	NA	NA	0.976735
TCGA-OR-A5JP-01A-11D-A29J-05	NA	NA	NA	-0.444918	0.286176	0.3709185	0.424995	0.520301	NA	NA	0.984835
TCGA-OR-A5JQ-01A-11D-A29J-05	NA	NA	NA	-0.450784	-0.407694	-0.327273	-0.02443	0.511699	NA	NA	0.976233
TCGA-OR-A5JR-01A-11D-A29J-05	NA	NA	NA	-0.452097	-0.422229	-0.3753265	-0.104306	0.519839	NA	NA	0.984373
TCGA-OR-A5JS-01A-11D-A29J-05	NA	NA	NA	-0.451989	-0.325512	0.162436	0.410275	0.513826	NA	NA	0.97836
TCGA-OR-A5JT-01A-11D-A29J-05	NA	NA	NA	-0.454807	-0.425663	-0.3790075	0.043086	0.521327	NA	NA	0.985861
TCGA-OR-A5JV-01A-11D-A29J-05	NA	NA	NA	-0.451245	-0.383622	-0.0969225	0.119716	0.517749	NA	NA	0.982283
TCGA-OR-A5JW-01A-11D-A29J-05	NA	NA	NA	-0.44896	-0.078171	0.3274645	0.409956	0.512056	NA	NA	0.97659
