	TCGA-OR-A5J1-01A-11D-A29J-05	TCGA-OR-A5J2-01A-11D-A29J-05	TCGA-OR-A5J3-01A-11D-A29J-05	TCGA-OR-A5J4-01A-11D-A29J-05	TCGA-OR-A5J5-01A-11D-A29J-05	TCGA-OR-A5J6-01A-31D-A29J-05	TCGA-OR-A5J7-01A-11D-A29J-05	TCGA-OR-A5J8-01A-11D-A29J-05	TCGA-OR-A5J9-01A-11D-A29J-05	TCGA-OR-A5JA-01A-11D-A29J-05	TCGA-OR-A5JB-01A-11D-A29J-05	TCGA-OR-A5JC-01A-11D-A29J-05	TCGA-OR-A5JD-01A-11D-A29J-05	TCGA-OR-A5JE-01A-11D-A29J-05	TCGA-OR-A5JF-01A-11D-A29J-05	TCGA-OR-A5JG-01A-11D-A29J-05	TCGA-OR-A5JI-01A-11D-A29J-05	TCGA-OR-A5JJ-01A-11D-A29J-05	TCGA-OR-A5JK-01A-11D-A29J-05	TCGA-OR-A5JL-01A-11D-A29J-05	TCGA-OR-A5JM-01A-11D-A29J-05	TCGA-OR-A5JO-01A-11D-A29J-05	TCGA-OR-A5JP-01A-11D-A29J-05	TCGA-OR-A5JQ-01A-11D-A29J-05	TCGA-OR-A5JR-01A-11D-A29J-05	TCGA-OR-A5JS-01A-11D-A29J-05	TCGA-OR-A5JT-01A-11D-A29J-05	TCGA-OR-A5JV-01A-11D-A29J-05	TCGA-OR-A5JW-01A-11D-A29J-05	TCGA-OR-A5JX-01A-11D-A29J-05	TCGA-OR-A5JY-01A-31D-A29J-05	TCGA-OR-A5JZ-01A-11D-A29J-05	TCGA-OR-A5K0-01A-11D-A29J-05	TCGA-OR-A5K1-01A-11D-A29J-05	TCGA-OR-A5K2-01A-11D-A29J-05	TCGA-OR-A5K3-01A-11D-A29J-05	TCGA-OR-A5K4-01A-11D-A29J-05	TCGA-OR-A5K5-01A-11D-A29J-05	TCGA-OR-A5K6-01A-11D-A29J-05	TCGA-OR-A5K8-01A-11D-A29J-05	TCGA-OR-A5K9-01A-11D-A29J-05	TCGA-OR-A5KO-01A-11D-A29J-05	TCGA-OR-A5KT-01A-11D-A29J-05	TCGA-OR-A5KU-01A-11D-A29J-05	TCGA-OR-A5KV-01A-11D-A29J-05	TCGA-OR-A5KW-01A-11D-A29J-05	TCGA-OR-A5KX-01A-11D-A29J-05	TCGA-OR-A5KY-01A-11D-A29J-05	TCGA-OR-A5KZ-01A-11D-A29J-05	TCGA-OR-A5L3-01A-11D-A29J-05	TCGA-OR-A5L4-01A-11D-A29J-05	TCGA-OR-A5L5-01A-11D-A29J-05	TCGA-OR-A5L6-01A-11D-A29J-05	TCGA-OR-A5L8-01A-11D-A29J-05	TCGA-OR-A5L9-01A-11D-A29J-05	TCGA-OR-A5LA-01A-11D-A29J-05	TCGA-OR-A5LB-01A-11D-A29J-05	TCGA-OR-A5LC-01A-11D-A29J-05	TCGA-OR-A5LD-01A-11D-A29J-05	TCGA-OR-A5LE-01A-11D-A29J-05	TCGA-OR-A5LG-01A-11D-A29J-05	TCGA-OR-A5LH-01A-11D-A29J-05	TCGA-OR-A5LJ-01A-11D-A29J-05	TCGA-OR-A5LK-01A-11D-A29J-05	TCGA-OR-A5LL-01A-11D-A29J-05	TCGA-OR-A5LM-01A-11D-A29J-05	TCGA-OR-A5LN-01A-11D-A29J-05	TCGA-OR-A5LO-01A-11D-A29J-05	TCGA-OR-A5LP-01A-11D-A29J-05	TCGA-OR-A5LR-01A-11D-A29J-05	TCGA-OR-A5LS-01A-11D-A29J-05	TCGA-OR-A5LT-01A-11D-A29J-05	TCGA-OU-A5PI-01A-12D-A29J-05	TCGA-P6-A5OF-01A-11D-A29J-05	TCGA-P6-A5OG-01A-22D-A29J-05	TCGA-PA-A5YG-01A-11D-A29J-05	TCGA-PK-A5H8-01A-11D-A29J-05	TCGA-PK-A5H9-01A-11D-A29J-05	TCGA-PK-A5HA-01A-11D-A29J-05	TCGA-PK-A5HB-01A-11D-A29J-05
ABR-cg06968724-17-1012579	0.0283862469128789	0.0302375222607024	0.877287679813362	0.901801959748476	0.0327325498369575	0.0302726360186168	0.805026492171898	0.0279161127096909	0.821976683422939	0.874931156504436	0.0348305968723465	0.69847769530913	0.030108771815016	0.767798105725258	0.0335879599950403	0.867197351323777	0.64205573863358	0.800550463419969	0.0292943277078334	0.0299195476751436	0.952599862864727	0.0318332474814816	0.78042247707767	0.0289392886000316	0.0290621867527323	0.0353933923811421	0.030770080922405	0.703342901544611	0.821894751321139	0.0329978537856446	0.859188488372787	0.032361904614527	0.9587135582705	0.0302453253180167	0.812238467894663	0.0288124889186739	0.0291177835360967	0.871471475967698	0.866101997153279	0.178317116296798	0.936310005338911	0.0330807612696092	0.703114662118167	0.031915179583282	0.0357728160430511	0.0289246578675673	0.897282038799154	0.748480661961484	0.681719654344454	0.0302082607957736	0.0337147596763981	0.0313250733738863	0.0293587029306766	0.053039031115322	0.0287451875493378	0.031649875634595	0.898179390390301	0.0315269774818944	0.917150573485752	0.931610614071359	0.03380156868902	0.028551086498644	0.854452032582992	0.030891028310777	0.0294513642362841	0.0300970672290445	0.0299049169426792	0.862262892954631	0.0299146707643221	0.0300385442991871	0.684965726187213	0.0243169525234588	0.453034972430917	0.708253384415459	0.0529160352287618	0.381429020372014	0.0778485461457822	0.0763367788172763	0.0782977623680863	0.820106869979162
ABR-cg23568341-17-1011974	0.0313225582332054	0.0383090595839506	0.814193103893852	0.891626989780587	0.080458284711428	0.0371365135599913	0.806015522097804	0.148304021788267	0.810079437851393	0.793761343101985	0.0422198224874882	0.74245708932654	0.0473519062079951	0.750554680462052	0.346418451531937	0.798632969427818	0.70794599678442	0.76500860262262	0.638084885260411	0.127512303023986	0.889163862733585	0.04399327396133	0.763562917757805	0.545642995564514	0.0581633268265804	0.193661652799939	0.0362224739389849	0.587554199702103	0.795232390859165	0.0379364201653545	0.847772597889482	0.0357795988184546	0.884418075373717	0.178806801840829	0.821459572556475	0.386184540272949	0.0344304880437993	0.843097046231548	0.747226288587053	0.862054832778655	0.898464240264722	0.866545040223151	0.61661031939399	0.729228389966382	0.04683684439381	0.05674007836655	0.880440978751685	0.712394257906928	0.883447456992819	0.386832269524121	0.0353981799371167	0.103585340565025	0.0402688307670903	0.783071859465924	0.034757279156966	0.0363951367062402	0.891532366682148	0.140274715362969	0.891706004945263	0.906134564213466	0.036311244062263	0.180288580052471	0.851704821701944	0.0438030522685912	0.222666071211235	0.0569673689019764	0.0365960888534411	0.851625806537268	0.0430402145059156	0.184485163243047	0.765049573448748	0.0708389200340058	0.462876863963469	0.716610104794813	0.100240010229249	0.775943144967503	0.0723278597759766	0.0617377966537393	0.724423324409775	0.746712224947035
ABR-cg24479027-17-1012576	0.0345833168223954	0.0384917093528481	0.894387731700473	0.901748033680707	0.0340010082771794	0.0341414646096938	0.854258187031672	0.0309968033872882	0.864356412104739	0.887157156749576	0.0401820622990109	0.785427756361232	0.0302272197320531	0.822215610785627	0.0368715845729424	0.89456135133372	0.701294413185108	0.853818285601367	0.0338283640351305	0.0290391932528687	0.954597654962842	0.0310845885951097	0.820883226409137	0.0299365531550441	0.0345696613456231	0.0376772577025042	0.0395919506242108	0.74818049268257	0.830387438242611	0.0336713260522498	0.873139809842878	0.0332684894874689	0.963288390537171	0.036675530942141	0.849156891066045	0.0326432637295403	0.033687907702616	0.878002134964991	0.89981870989103	0.549820061697915	0.954746889816139	0.0373495262599706	0.759023916630921	0.0361224841328656	0.032336015502165	0.0360015356243115	0.910492415770926	0.801951858646832	0.767037730713826	0.0341404892184958	0.0344009186683663	0.0323496709789373	0.031868803118315	0.0490210573354377	0.0308953627026944	0.0330285432527568	0.914136477286716	0.0367418575436061	0.928858056638381	0.938371046992638	0.0282383970792971	0.0312006601476736	0.873307577128937	0.0350719878126017	0.0339736973236349	0.0352329273602744	0.0315537517613557	0.89455159742174	0.0322979752454423	0.0333982165168051	0.815443469697798	0.0301989333873106	0.47931508990675	0.726313396532214	0.0584033580746536	0.396115394699863	0.0820432758426869	0.0810849107420444	0.0811148012714992	0.86946645240803
ACOT7-cg16034168-1-6336711	0.944921907875419	0.0863328858244747	0.0885900213980018	0.908983239521117	0.703172450402712	0.242946894481097	0.943881578002005	0.333716894692176	0.860362686758666	0.794350002522964	0.678408309395363	0.726778285983993	0.193693563754404	0.897851612375131	0.941630292455882	0.943094749316114	0.877650492743206	0.901586854872834	0.286598823968086	0.168445820481625	0.951141462010853	0.897125233972419	0.901259253338188	0.905065671169311	0.190806575230338	0.931706695968902	0.107775186270698	0.618825780281653	0.901811105923336	0.0711754648197008	0.924907989120434	0.104189119471807	0.959373425573397	0.101330406080196	0.946166013703419	0.949602904803498	0.0499301152960918	0.168495545714562	0.946050963164466	0.936423768065975	0.0522935263674653	0.952552293619878	0.881236559542097	0.116511227194587	0.930999817657538	0.0634271035225865	0.964683300447448	0.88110395892093	0.0436267107678617	0.248420570122471	0.144816584790727	0.27363808825366	0.777988450877453	0.0519571497917128	0.912253404840171	0.381538918713928	0.959259350039011	0.0512210213433271	0.925781593212823	0.144683984169561	0.0886670467588263	0.282810931223743	0.121841577164554	0.397875120240687	0.249730001256486	0.611688746848297	0.308901078442755	0.932818201175736	0.655221725778064	0.171148533142453	0.953208471693737	0.960947082945177	0.601753780758616	0.454858593393343	0.7996958271076	0.658225416493814	0.36177374463338	0.741465762958425	0.837424267538194	0.813328337409374
ACOX3-cg18631798-4-8396163	0.907888781555218	0.0645371479264902	0.084090466102747	0.43424771619351	0.108848449038353	0.361213762437055	0.946519696536208	0.343667637506631	0.95346347385047	0.897053447447675	0.936552943867245	0.774758935605538	0.22045580228211	0.131345780620348	0.15129488338029	0.707978573239086	0.587212608754631	0.0815880547078694	0.401109043440311	0.477469147441924	0.628732946164299	0.927108704835858	0.276563628633323	0.23743457098666	0.487618194980712	0.0659496894579188	0.128728338238094	0.944634358149884	0.604401942656412	0.261397085399391	0.934980528760141	0.828947304209765	0.0440401857181956	0.281067384240777	0.93469782548608	0.608141424585026	0.869119439453825	0.811306619908362	0.0602000897668448	0.204621494418069	0.0599963484417458	0.0591979554022425	0.215784374387972	0.0653803835542926	0.875242402434435	0.369679263236866	0.120345698742749	0.86472291612274	0.220209168046464	0.489844726973661	0.215920851830622	0.398038300980683	0.889766526849035	0.0895437147754949	0.839276696940626	0.486974801322504	0.937634040180809	0.0960263933013752	0.115921879923133	0.061242192525366	0.0879206080468347	0.513705858143281	0.124856278222335	0.469059212458049	0.101104329006835	0.937260676891274	0.253937618319687	0.886421854665231	0.213920482456922	0.271699182641723	0.952130869106879	0.0666252527990369	0.217642396338013	0.499514607309358	0.783991152336552	0.661975864225221	0.48961159566264	0.747675024509463	0.770872454036848	0.747377753167231
ACSS1-cg23676480-20-25039812	0.904127976979257	0.0880205785585625	0.855658364163998	0.0787184084610277	0.856941119373547	0.0925575325354537	0.902883265460333	0.0645007984388413	0.910275447192623	0.396053513197734	0.30089941458887	0.829565269791204	0.253210185171056	0.399930067724538	0.804586172718263	0.929324605924236	0.88697905182042	0.911107530990148	0.389781181640776	0.0879308344678564	0.09612193370328	0.398575127050726	0.0891043360017631	0.503106507659128	0.418583181881948	0.861378574467264	0.207077820631142	0.645561594945579	0.916499004787241	0.773471311182916	0.071915416193808	0.130598296723118	0.912394188116684	0.913704256745144	0.83577712163486	0.897541541104828	0.444637257084869	0.279439846638402	0.811565726729154	0.947207091476669	0.93758593966543	0.929013428044505	0.396222271107431	0.898251689996502	0.25122118298682	0.836327291930058	0.121276617040647	0.849290435640853	0.0814282898086527	0.159652946089212	0.0983226148840726	0.141709980823476	0.539179730205986	0.9284652087078	0.776404577278059	0.354994616220455	0.944784001027605	0.234938483399147	0.13369056593549	0.116902568097972	0.0599599425449629	0.158109737920766	0.504671176371004	0.785406299767578	0.152397331451474	0.814931130130632	0.296784843125846	0.908827835990364	0.0919985829270342	0.25269903404573	0.887744803029163	0.651351064275368	0.610421549187358	0.797694169834864	0.161217967988981	0.44639556375741	0.37663263515415	0.17874237496764	0.817232069108781	0.818412286286839
ADAM5P-cg14742937-8-39172097	0.257888969035828	0.0522390757033361	0.0643208131315099	0.628159604447555	0.491520907343209	0.230944451794884	0.870803602263506	0.811371010293388	0.700737789821161	0.837186338515621	0.882475789270386	0.720713124059752	0.201143807925439	0.862469251190173	0.868944048326821	0.886542039881805	0.131059004521473	0.0829066012978532	0.181092414322893	0.128404727743468	0.31927765182765	0.122966483220713	0.891007114593961	0.126023484579658	0.0801353101137636	0.902851897849814	0.942876675450849	0.906566130122931	0.0719296748871225	0.122262446544108	0.86869149223369	0.0634597821267417	0.0501552441549901	0.079864226739669	0.645861933847964	0.0580693184864718	0.357782217269644	0.436901507943346	0.366684088212485	0.892814012047908	0.954846274073193	0.0361515451068864	0.281872046682796	0.056647593452551	0.0532249220745938	0.0407589873464443	0.909302316985195	0.0983573785011957	0.0374035992519853	0.3251273970118	0.770349660000538	0.190423338088042	0.071164205647323	0.0411539109669778	0.0521308373777084	0.58661558980753	0.149932453102773	0.040252900040131	0.92379552629875	0.0441260768815116	0.922561024314564	0.0862912429938331	0.131825448881323	0.850800964663496	0.846301760749566	0.384501481778876	0.137939451599213	0.0582126611339247	0.0870781648747481	0.0511713192478196	0.0792928063899587	0.908827433520504	0.171081082599551	0.32541067917463	0.593055917830851	0.444780852064832	0.223220201297482	0.333715626677917	0.778371681842579	0.747895304766482
ADAM5P-cg19659741-8-39172099	0.199929901271281	0.0829159344232395	0.083882331139268	0.584817140688464	0.577136675970562	0.443263913535537	0.877913270028622	0.822673604664191	0.756901092750997	0.842898698398229	0.897865315245517	0.756902067924273	0.343016100813306	0.868846108912948	0.87112508885781	0.88646944034793	0.154275214031819	0.0800528256863478	0.237940205204035	0.131990554339908	0.39005553410399	0.14141852956752	0.896328442163317	0.123702556671365	0.120484484862188	0.921540572028303	0.876915667767777	0.885135403307035	0.0654749603907774	0.240355709407468	0.912510467497098	0.0489672271829766	0.0535817471226809	0.128584274088558	0.593072957638915	0.0699636829779412	0.436268995630318	0.471316723152078	0.431951903539643	0.887043817407204	0.949586555431915	0.0415822399675539	0.364247573367668	0.0691386863868613	0.0715005560601419	0.0468774308535628	0.878457416716355	0.117743272784735	0.0368536247546152	0.33204540146384	0.757656852039516	0.218234878825843	0.0697588965900844	0.0491300811199866	0.0733173038724135	0.540733457595845	0.190945629884025	0.0517601234440318	0.928426270526665	0.0492714812449351	0.908821386995851	0.102142450723157	0.201999218961909	0.864774760487702	0.862298795541186	0.461730769853834	0.152583288398812	0.0638395948077504	0.098121811308237	0.0626762130900693	0.0945926592241733	0.8897235935683	0.188611691525376	0.335546302088922	0.632065720647139	0.467732176503216	0.24328161536121	0.307624018908504	0.819880840846757	0.765712158253482
ADCY4-cg13631572-14-24803903	0.884701892372691	0.0505075667726479	0.592276981254467	0.888702181112682	0.598181333301082	0.0449816863259148	0.807711209622437	0.178771396884255	0.872895139163996	0.594639502426928	0.156964409546716	0.810289303536067	0.0444159298106271	0.792643552912696	0.69225201015942	0.887283888055392	0.352706409413601	0.848398857494304	0.0523706615040265	0.43155726056843	0.953943661748037	0.0482191792125357	0.827383929278167	0.0712357149620698	0.0997118010841308	0.55419376423746	0.210071388371416	0.258459177504803	0.821295218642949	0.0423479922030235	0.89910624834037	0.651942833887435	0.951826952027047	0.0413003672074735	0.86523206470865	0.224096297296946	0.0353296850866523	0.916796869308058	0.439296419520659	0.61477263083303	0.91286388608454	0.889882466256644	0.517142565139718	0.734997841216213	0.0371118181098087	0.651139069458819	0.930983701650032	0.434594787790164	0.172746089996441	0.041072113716823	0.16090324542384	0.0898900728902819	0.0839818190745958	0.69359714504663	0.0448948719640861	0.0563231535728988	0.88939279423824	0.891734831123078	0.902851946648482	0.940129448352339	0.528193350590916	0.0498686520872798	0.682166912553282	0.543075673269788	0.0805385078694824	0.300506591897896	0.548217229463032	0.888557815657057	0.260019885133183	0.053323668599606	0.708143915585399	0.928911862273358	0.536883019895625	0.792972908934422	0.138417995864468	0.681964137068939	0.14176908620473	0.119314255684972	0.440603869912053	0.776475005026549
ADCY4-cg14287235-14-24804339	0.862042602272593	0.0303153037518181	0.429654605131151	0.85307925201542	0.584777731790202	0.0310859879815926	0.818503821038631	0.542956893503877	0.877564572880111	0.728989335525169	0.719846484130934	0.697771746471018	0.0388064879745473	0.785646333009479	0.665076199685084	0.853151442690107	0.472125159489666	0.837470457488344	0.313070567709108	0.53390964597612	0.921291635198056	0.0338750844536493	0.839257664461694	0.0498526367514271	0.0552815705978756	0.566533002087366	0.0361451885076809	0.351777451487281	0.348694714568184	0.0936733518365338	0.827793004881557	0.0331170823694283	0.805957276887836	0.792621513063766	0.810080925291958	0.0994915299965012	0.0302372597791828	0.828408576715719	0.446141394350375	0.550055968364722	0.591454393649158	0.293462995134127	0.117295311253947	0.795351101006688	0.136931174769008	0.774938699963905	0.838590388495662	0.238737585972542	0.506548404719815	0.0303952988237695	0.0445573532081167	0.0994710434536845	0.209659377318258	0.700338417621064	0.0396161941906394	0.0319844692165573	0.793789246004323	0.743786472736836	0.907648573231734	0.946243268799244	0.0630869434110713	0.0264345672125241	0.826368702380961	0.604223363121964	0.104660967633937	0.322608516714809	0.138450105586424	0.885142642623006	0.640432839775806	0.0319571538261351	0.450548927704958	0.676437451001479	0.476184727163049	0.707223461479103	0.126724984157996	0.358967560424903	0.729628545410777	0.0704721070758481	0.707751990981088	0.0961584976002751
