	TCGA-OR-A5J1-01A-11D-A29J-05	TCGA-OR-A5J2-01A-11D-A29J-05	TCGA-OR-A5J3-01A-11D-A29J-05	TCGA-OR-A5J4-01A-11D-A29J-05	TCGA-OR-A5J5-01A-11D-A29J-05	TCGA-OR-A5J6-01A-31D-A29J-05	TCGA-OR-A5J7-01A-11D-A29J-05	TCGA-OR-A5J8-01A-11D-A29J-05	TCGA-OR-A5J9-01A-11D-A29J-05	TCGA-OR-A5JA-01A-11D-A29J-05	TCGA-OR-A5JB-01A-11D-A29J-05	TCGA-OR-A5JC-01A-11D-A29J-05	TCGA-OR-A5JD-01A-11D-A29J-05	TCGA-OR-A5JE-01A-11D-A29J-05	TCGA-OR-A5JF-01A-11D-A29J-05	TCGA-OR-A5JG-01A-11D-A29J-05	TCGA-OR-A5JI-01A-11D-A29J-05	TCGA-OR-A5JJ-01A-11D-A29J-05	TCGA-OR-A5JK-01A-11D-A29J-05	TCGA-OR-A5JL-01A-11D-A29J-05	TCGA-OR-A5JM-01A-11D-A29J-05	TCGA-OR-A5JO-01A-11D-A29J-05	TCGA-OR-A5JP-01A-11D-A29J-05	TCGA-OR-A5JQ-01A-11D-A29J-05	TCGA-OR-A5JR-01A-11D-A29J-05	TCGA-OR-A5JS-01A-11D-A29J-05	TCGA-OR-A5JT-01A-11D-A29J-05	TCGA-OR-A5JV-01A-11D-A29J-05	TCGA-OR-A5JW-01A-11D-A29J-05	TCGA-OR-A5JX-01A-11D-A29J-05	TCGA-OR-A5JY-01A-31D-A29J-05	TCGA-OR-A5JZ-01A-11D-A29J-05	TCGA-OR-A5K0-01A-11D-A29J-05	TCGA-OR-A5K1-01A-11D-A29J-05	TCGA-OR-A5K2-01A-11D-A29J-05	TCGA-OR-A5K3-01A-11D-A29J-05	TCGA-OR-A5K4-01A-11D-A29J-05	TCGA-OR-A5K5-01A-11D-A29J-05	TCGA-OR-A5K6-01A-11D-A29J-05	TCGA-OR-A5K8-01A-11D-A29J-05	TCGA-OR-A5K9-01A-11D-A29J-05	TCGA-OR-A5KO-01A-11D-A29J-05	TCGA-OR-A5KT-01A-11D-A29J-05	TCGA-OR-A5KU-01A-11D-A29J-05	TCGA-OR-A5KV-01A-11D-A29J-05	TCGA-OR-A5KW-01A-11D-A29J-05	TCGA-OR-A5KX-01A-11D-A29J-05	TCGA-OR-A5KY-01A-11D-A29J-05	TCGA-OR-A5KZ-01A-11D-A29J-05	TCGA-OR-A5L3-01A-11D-A29J-05	TCGA-OR-A5L4-01A-11D-A29J-05	TCGA-OR-A5L5-01A-11D-A29J-05	TCGA-OR-A5L6-01A-11D-A29J-05	TCGA-OR-A5L8-01A-11D-A29J-05	TCGA-OR-A5L9-01A-11D-A29J-05	TCGA-OR-A5LA-01A-11D-A29J-05	TCGA-OR-A5LB-01A-11D-A29J-05	TCGA-OR-A5LC-01A-11D-A29J-05	TCGA-OR-A5LD-01A-11D-A29J-05	TCGA-OR-A5LE-01A-11D-A29J-05	TCGA-OR-A5LG-01A-11D-A29J-05	TCGA-OR-A5LH-01A-11D-A29J-05	TCGA-OR-A5LJ-01A-11D-A29J-05	TCGA-OR-A5LK-01A-11D-A29J-05	TCGA-OR-A5LL-01A-11D-A29J-05	TCGA-OR-A5LM-01A-11D-A29J-05	TCGA-OR-A5LN-01A-11D-A29J-05	TCGA-OR-A5LO-01A-11D-A29J-05	TCGA-OR-A5LP-01A-11D-A29J-05	TCGA-OR-A5LR-01A-11D-A29J-05	TCGA-OR-A5LS-01A-11D-A29J-05	TCGA-OR-A5LT-01A-11D-A29J-05	TCGA-OU-A5PI-01A-12D-A29J-05	TCGA-P6-A5OF-01A-11D-A29J-05	TCGA-P6-A5OG-01A-22D-A29J-05	TCGA-PA-A5YG-01A-11D-A29J-05	TCGA-PK-A5H8-01A-11D-A29J-05	TCGA-PK-A5H9-01A-11D-A29J-05	TCGA-PK-A5HA-01A-11D-A29J-05	TCGA-PK-A5HB-01A-11D-A29J-05
ABR-cg06968724-17-1012579	0.0271033916277777	0.0290013916277777	0.897430391627778	0.922563391627778	0.0315593916277777	0.0290373916277777	0.823345391627778	0.0266213916277777	0.840723391627778	0.895014391627778	0.0337103916277777	0.714107391627778	0.0288693916277777	0.785177391627778	0.0324363916277777	0.887085391627778	0.656261391627778	0.818756391627778	0.0280343916277777	0.0286753916277777	0.974643391627778	0.0306373916277777	0.798120391627778	0.0276703916277777	0.0277963916277777	0.0342873916277777	0.0295473916277777	0.719095391627778	0.840639391627778	0.0318313916277777	0.878874391627778	0.0311793916277777	0.980911391627778	0.0290093916277777	0.830739391627778	0.0275403916277777	0.0278533916277777	0.891467391627778	0.885962391627778	0.180818391627778	0.957942391627778	0.0319163916277777	0.718861391627778	0.0307213916277777	0.0346763916277777	0.0276553916277777	0.917929391627778	0.765372391627778	0.696926391627778	0.0289713916277777	0.0325663916277777	0.0301163916277777	0.0281003916277777	0.0523783916277777	0.0274713916277777	0.0304493916277777	0.918849391627778	0.0303233916277777	0.938299391627778	0.953124391627778	0.0326553916277777	0.0272723916277777	0.874018391627778	0.0296713916277777	0.0281953916277777	0.0288573916277777	0.0286603916277777	0.882026391627778	0.0286703916277777	0.0287973916277777	0.700254391627778	0.0229313916277777	0.371927794405556	0.784290794405556	-0.0404352055944444	0.371927794405556	0.174343225155556	0.172731225155556	0.174822225155556	0.965814502155556
ABR-cg23568341-17-1011974	0.107536562677778	0.114698562677778	0.910072562677778	0.989451562677778	0.157906562677778	0.113496562677778	0.901689562677778	0.227456562677778	0.905855562677778	0.889127562677778	0.118707562677778	0.836534562677778	0.123968562677778	0.844835562677778	0.430547562677778	0.894121562677778	0.801156562677778	0.859652562677778	0.729540562677778	0.206142562677778	0.986926562677778	0.120525562677778	0.858170562677778	0.634776562677778	0.135051562677778	0.273953562677778	0.112559562677778	0.677740562677778	0.890635562677778	0.114316562677778	0.944495562677778	0.112105562677778	0.982061562677778	0.258725562677778	0.917521562677778	0.471312562677778	0.110722562677778	0.939702562677778	0.841423562677778	0.959136562677778	0.996460562677778	0.963739562677778	0.707526562677778	0.822973562677778	0.123440562677778	0.133592562677778	0.977984562677778	0.805716562677778	0.981066562677778	0.471976562677778	0.111714562677778	0.181614562677778	0.116707562677778	0.878169562677778	0.111057562677778	0.112736562677778	0.989354562677778	0.219225562677778	0.989532562677778	1.00432356267778	0.112650562677778	0.260244562677778	0.948526562677778	0.120330562677778	0.303686562677778	0.133825562677778	0.112942562677778	0.948445562677778	0.119548562677778	0.264546562677778	0.859694562677778	0.148045562677778	0.535218965455556	0.932069965455556	0.138367965455556	0.535218965455556	0.176302540955556	0.164748540955556	0.887753540955556	0.912071238955556
ABR-cg24479027-17-1012576	0.0286395522444446	0.0326465522444446	0.910136552244445	0.917682552244445	0.0280425522444446	0.0281865522444446	0.868994552244445	0.0249625522444445	0.879347552244445	0.902723552244445	0.0343795522444446	0.798427552244445	0.0241735522444446	0.836143552244445	0.0309855522444445	0.910314552244445	0.712171552244445	0.868543552244445	0.0278655522444446	0.0229555522444446	0.971865552244445	0.0250525522444446	0.834777552244445	0.0238755522444445	0.0286255522444446	0.0318115522444445	0.0337745522444446	0.760240552244445	0.844521552244445	0.0277045522444446	0.888352552244445	0.0272915522444446	0.980775552244445	0.0307845522444445	0.863764552244445	0.0266505522444446	0.0277215522444446	0.893337552244445	0.915704552244445	0.556875552244445	0.972018552244445	0.0314755522444446	0.771357552244445	0.0302175522444446	0.0263355522444446	0.0300935522444445	0.926647552244445	0.815368552244445	0.779573552244445	0.0281855522444446	0.0284525522444445	0.0263495522444446	0.0258565522444446	0.0434415522444446	0.0248585522444446	0.0270455522444445	0.930383552244445	0.0308525522444446	0.945476552244445	0.955229552244445	0.0221345522444445	0.0251715522444446	0.888524552244445	0.0291405522444446	0.0280145522444445	0.0293055522444446	0.0255335522444446	0.910304552244445	0.0262965522444445	0.0274245522444446	0.829200552244445	0.0241445522444446	0.388822871688889	0.807645371688889	-0.0299996283111111	0.388822871688889	0.178579332688889	0.177553332688889	0.177585332688889	1.02157348868889
ACOT7-cg16034168-1-6336711	1.05951016023889	0.178910160238889	0.181225160238889	1.02265016023889	0.811563160238889	0.339539160238889	1.05844316023889	0.432636160238889	0.972783160238889	0.905078160238889	0.786164160238889	0.835774160238889	0.289023160238889	1.01123316023889	1.05613416023889	1.05763616023889	0.990514160238889	1.01506416023889	0.384310160238889	0.263128160238889	1.06588916023889	1.01048816023889	1.01472816023889	1.01863216023889	0.286062160238889	1.04595616023889	0.200902160238889	0.725054160238889	1.01529416023889	0.163364160238889	1.03898316023889	0.197224160238889	1.07433216023889	0.194292160238889	1.06078616023889	1.06431116023889	0.141574160238889	0.263179160238889	1.06066816023889	1.05079416023889	0.143998160238889	1.06733616023889	0.994192160238889	0.209862160238889	1.04523116023889	0.155417160238889	1.07977816023889	0.994056160238889	0.135109160238889	0.345153160238889	0.238893160238889	0.371017160238889	0.888297160238889	0.143653160238889	1.02600416023889	0.481684160238889	1.07421516023889	0.142898160238889	1.03987916023889	0.238757160238889	0.181304160238889	0.380425160238889	0.215329160238889	0.498439160238889	0.346496160238889	0.717734160238889	0.407184160238889	1.04709616023889	0.762383160238889	0.265900160238889	1.06800916023889	1.07594616023889	0.668409924127778	0.489893424127778	0.846926424127778	0.668409924127778	0.342395567377778	0.721262567377778	0.817012567377778	0.792968994377778
ACOX3-cg18631798-4-8396163	1.00787461167778	0.142755611677778	0.162813611677778	0.522008611677778	0.188210611677778	0.447089611677778	1.04750261167778	0.429090611677778	1.05462561167778	0.996759611677778	1.03727861167778	0.871308611677778	0.302698611677778	0.211288611677778	0.231752611677778	0.802804611677778	0.678921611677778	0.160246611677778	0.488014611677778	0.566345611677778	0.721513611677778	1.02759061167778	0.360254611677778	0.320115611677778	0.576756611677778	0.144204611677778	0.208603611677778	1.04556861167778	0.696554611677778	0.344696611677778	1.03566561167778	0.926895611677778	0.121729611677778	0.364874611677778	1.03537561167778	0.700390611677778	0.968104611677778	0.908799611677778	0.138306611677778	0.286455611677778	0.138097611677778	0.137278611677778	0.297906611677778	0.143620611677778	0.974385611677778	0.455773611677778	0.200004611677778	0.963594611677778	0.302445611677778	0.579040611677778	0.298046611677778	0.484864611677778	0.989284611677778	0.168407611677778	0.937491611677778	0.576096611677778	1.03838761167778	0.175057611677778	0.195466611677778	0.139375611677778	0.166742611677778	0.603517611677778	0.204631611677778	0.557718611677778	0.180266611677778	1.03800461167778	0.337044611677778	0.985853611677778	0.295994611677778	0.355264611677778	1.05325861167778	0.144897611677778	0.533328764455556	0.387120264455555	0.679537264455556	0.533328764455556	0.380275594955556	0.578483594955556	0.596300594955556	0.578255272955556
ACSS1-cg23676480-20-25039812	0.920669829366667	0.0840478293666665	0.870981829366666	0.0745118293666665	0.872296829366667	0.0886988293666665	0.919393829366666	0.0599368293666665	0.926971829366667	0.399823829366666	0.302277829366667	0.844232829366667	0.253389829366667	0.403797829366667	0.818625829366667	0.946499829366667	0.903089829366666	0.927824829366667	0.393393829366667	0.0839558293666665	0.0923528293666665	0.402408829366666	0.0851588293666665	0.509567829366666	0.422919829366666	0.876845829366667	0.206097829366667	0.655603829366667	0.933351829366666	0.786728829366667	0.0675378293666665	0.127695829366667	0.929143829366667	0.930486829366666	0.850600829366666	0.913917829366667	0.449628829366666	0.280278829366666	0.825780829366667	0.964831829366666	0.954968829366666	0.946180829366666	0.399996829366667	0.914645829366666	0.251350829366667	0.851164829366666	0.118139829366667	0.864453829366666	0.0772898293666665	0.157480829366667	0.0946088293666665	0.139086829366666	0.546547829366666	0.945618829366667	0.789735829366667	0.357732829366667	0.962347829366667	0.234658829366666	0.130865829366667	0.113655829366667	0.0552818293666665	0.155898829366666	0.511171829366666	0.798963829366667	0.150042829366666	0.829230829366666	0.298059829366667	0.925487829366667	0.0881258293666665	0.252865829366666	0.903874829366667	0.661538829366667	0.526200496033333	0.949220496033333	0.103180496033333	0.526200496033333	0.341588682533333	0.128098682533333	0.816920682533333	0.818193936533333
ADAM5P-cg14742937-8-39172097	0.229382334	0.0184853340000001	0.0308753340000001	0.609100334	0.468975334	0.201750334	0.857935334	0.796986334	0.683530334	0.823460334	0.869905334	0.704015334	0.171189334	0.849388334	0.856028334	0.874075334	0.0993163340000001	0.0499353340000001	0.150626334	0.0965943340000001	0.292337334	0.0910173340000001	0.878654334	0.0941523340000001	0.0470933340000001	0.890801334	0.931847334	0.894610334	0.0386783340000001	0.0902953340000001	0.855769334	0.0299923340000001	0.0163483340000001	0.0468153340000001	0.627254334	0.0244643340000001	0.331824334	0.412962334	0.340953334	0.880507334	0.944122334	0.00198733400000006	0.253977334	0.0230063340000001	0.0194963340000001	0.0067123340000001	0.897416334	0.0657803340000001	0.00327133400000007	0.298336334	0.754918334	0.160195334	0.0378933340000001	0.00711733400000009	0.0183743340000001	0.566496334	0.118671334	0.00619333400000011	0.912279334	0.0101653340000001	0.911013334	0.0534063340000001	0.100102334	0.837422334	0.832808334	0.359225334	0.106372334	0.0246113340000001	0.0542133340000001	0.0173903340000001	0.0462293340000001	0.896929334	0.369500959	0.239981459	0.499020459	0.369500959	0.055380289	0.172017289	0.641388289	0.609217969
ADAM5P-cg19659741-8-39172099	0.166519326177778	0.0465263261777777	0.0475173261777777	0.561205326177778	0.553329326177778	0.416048326177778	0.861763326177778	0.805117326177778	0.737670326177778	0.825857326177778	0.882223326177778	0.737671326177778	0.313248326177778	0.852465326177778	0.854802326177778	0.870537326177778	0.119702326177778	0.0435903261777776	0.205497326177778	0.0968503261777777	0.361485326177778	0.106518326177778	0.880647326177778	0.0883513261777777	0.0850513261777777	0.906501326177778	0.860740326177778	0.869169326177778	0.0286413261777776	0.207974326177778	0.897241326177778	0.0117133261777776	0.0164453261777777	0.0933573261777776	0.569671326177778	0.0332443261777777	0.408875326177778	0.444815326177778	0.404448326177778	0.871126326177778	0.935261326177778	0.00414032617777765	0.335020326177778	0.0323983261777777	0.0348203261777777	0.00957032617777764	0.862321326177778	0.0822403261777777	-0.000708673822222339	0.301998326177778	0.738445326177778	0.185290326177778	0.0330343261777777	0.0118803261777777	0.0366833261777776	0.515999326177778	0.157306326177778	0.0145773261777777	0.913562326177778	0.0120253261777777	0.893458326177778	0.0662423261777776	0.168641326177778	0.848290326177778	0.845751326177778	0.434985326177778	0.117967326177778	0.0269643261777777	0.0621193261777777	0.0257713261777777	0.0585003261777777	0.873874326177778	0.385869353955556	0.237454853955556	0.534283853955556	0.385869353955556	0.0749221119555556	0.143712111955556	0.691378111955556	0.633465079955556
ADCY4-cg13631572-14-24803903	0.911618785827778	0.0564227858277777	0.611831785827778	0.915719785827778	0.617884785827778	0.0507577858277777	0.832689785827778	0.187915785827778	0.899514785827778	0.614253785827778	0.165559785827778	0.835332785827778	0.0501777858277777	0.817242785827778	0.714323785827778	0.914265785827778	0.366229785827778	0.874401785827778	0.0583327858277777	0.447065785827778	0.982603785827778	0.0540767858277777	0.852857785827778	0.0776727858277777	0.106865785827778	0.572789785827778	0.220003785827778	0.269609785827778	0.846615785827778	0.0480577858277777	0.926385785827778	0.672999785827778	0.980433785827778	0.0469837858277777	0.891658785827778	0.234381785827778	0.0408627858277777	0.944521785827778	0.454999785827778	0.634893785827778	0.940489785827778	0.916929785827778	0.534805785827778	0.758145785827778	0.0426897858277777	0.672175785827778	0.959065785827778	0.450179785827778	0.181738785827778	0.0467497858277777	0.169597785827778	0.0967967858277777	0.0907397858277777	0.715702785827778	0.0506687858277777	0.0623847858277777	0.916427785827778	0.918828785827778	0.930225785827778	0.968441785827778	0.546134785827778	0.0557677858277777	0.703984785827778	0.561391785827778	0.0872097858277777	0.312715785827778	0.566662785827778	0.915571785827778	0.271209785827778	0.0593097858277777	0.730615785827778	0.956941785827778	0.513765563605556	0.949232063605556	0.0782990636055556	0.513765563605556	0.274378023355556	0.250778023355556	0.588453023355556	0.941453184355556
ADCY4-cg14287235-14-24804339	0.815851322416667	-0.0367216775833334	0.372626322416667	0.806663322416667	0.531637322416667	-0.0359316775833334	0.771221322416667	0.488768322416667	0.831762322416667	0.679463322416667	0.670091322416667	0.647463322416667	-0.0280176775833334	0.737540322416667	0.613948322416667	0.806737322416667	0.416161322416667	0.790663322416667	0.253120322416667	0.479494322416667	0.876585322416667	-0.0330726775833334	0.792495322416667	-0.0166946775833334	-0.0111296775833334	0.512935322416667	-0.0307456775833334	0.292797322416667	0.289637322416667	0.0282243224166666	0.780743322416667	-0.0338496775833334	0.758360322416667	0.744690322416667	0.762587322416667	0.0341883224166666	-0.0368016775833334	0.781374322416667	0.389526322416667	0.496045322416667	0.538481322416667	0.233021322416667	0.0524383224166666	0.747488322416667	0.0725663224166666	0.726564322416667	0.791811322416667	0.176924322416667	0.451447322416667	-0.0366396775833334	-0.0221226775833334	0.0341673224166666	0.147117322416667	0.650094322416667	-0.0271876775833334	-0.0350106775833334	0.745887322416667	0.694631322416667	0.862600322416667	0.902162322416667	-0.00312867758333341	-0.0406996775833334	0.779283322416667	0.551570322416667	0.0394873224166666	0.262897322416667	0.0741233224166666	0.839530322416667	0.588687322416667	-0.0350386775833334	0.394044322416667	0.625594322416667	0.413517114083333	0.791955614083333	0.0350786140833333	0.413517114083333	0.773995835333333	0.0509488353333333	0.749998835333333	0.0791249503333333
